ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży 
474;Buty Reebok ACT 600 THOF "Chalk";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BD2883_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BD2883_2D_0003.jpg;Buty Męskie;Rozmiary:  41  42  42.5  43  44  44.5  45 40.5, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1
475;Buty Reebok NPC UK II THOF "Chalk";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BD2884_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BD2884_2D_0003.jpg;Buty Dziecięce;Rozmiary:  41  42  42.5  43  44  44.5  45 40.5, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1
476;Buty Reebok Revenge Thof "Chalk";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BD2885_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BD2885_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42.5  43  44  45 40.5, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1
477;Buty Nike Air Max Invigor Mid "Wheat";469.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/858654_700_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/858654_700_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Żółty, Sezon: Jesień/Zima;1;200;1
478;Buty le coq sportif Feretcraft 2 Tones "Dress Blue";129.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1710017_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1710017_2D_0003.jpg;Buty Męskie;Rozmiary:  43  44  45  46 42, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
479;Trampki Converse Chuck Taylor All Star Player OX "Navy";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144150C_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144150C_2D_0003~1.jpg;Buty Męskie;Rozmiary:  41  42  42.5  44  44.5  45 40, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
480;Trampki Converse Chuck Taylor All Star Player OX "Black";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144145C_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144145C_2D_0003~1.jpg;Buty Męskie;Rozmiary:  41  41.5  42  42.5  43  44  44.5  45  46 40, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
481;Trampki Converse Chuck Taylor All Star Player OX "White";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144151C_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144151C_2D_0003~1.jpg;Buty Męskie;Rozmiary:  41  42  43  44  44.5  45  46 40, Kolor: Biały, Sezon: Jesień/Zima;1;200;1
482;Buty New Balance 754 "Brown";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/HL754BO__1_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/HL754BO__3_.jpg;Buty Męskie;Rozmiary:  43  44  45  46.5 42, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
483;Buty New Balance 754 "Brown";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H754LFT_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H754LFT_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46.5 41.5, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
484;Buty Nike Air Max Invigor Mid "Black";469.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/858654_004_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/858654_004_2D_0003.jpg;Buty Męskie;Rozmiary: 47, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
485;Buty Nike Air Max 90 Ultra 2.0 Leather "Cargo Khaki";619.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/92444_300_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/92444_300_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Zielony, Sezon: Jesień/Zima;1;200;1
486;Buty Palladium Pallab Hikir "Black";549.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/05139041M_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/05139041M_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
487;Buty adidas X_PLR "Core Black";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9260_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9260_2D_0003.jpg;Buty Męskie;Rozmiary:  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3  47 1/3 41 1/3, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
488;Buty Nike Air Max Inbigor SL "Black";329.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/844793_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/844793_001_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42.5  44  45  46  47 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
