ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży ;Kategoria
0;Bluza Puma ESS No.1 Hoody FL "Olive Night";249.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/83825749__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/83825749__5_.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Zielony, Sezon: Jesień/Zima;1;200;1;Odzież męska
1;Bluza Puma Evostripe Ultimate Hoody "Black";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/59261901__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/59261901__5_.jpg;Bluza Męska;Rozmiary:  L  XL M, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Odzież męska
2;Bluza 4F Sportstyle "Grey";169.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BLM0051951__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BLM0051951__5_.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież męska
3;Bluza 4F Sportstyle "Grey";129.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BLM0021951__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BLM0021951__5_.jpg;Bluza Męska;Rozmiary: M, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież męska
4;Bluza Outhorn Sport "Grey";89.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BLM6011957__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BLM6011957__5_.jpg;Bluza Męska;Rozmiary:  L  XL  XXL M, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież męska
5;Bluza Asics Graphic FZ Hoodie "Dark Heather Grey";159.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1250870773__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1250870773__5_.jpg;Bluza Męska;Rozmiary:  L  M  XL  XXXL S, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież męska
6;Bluza Puma Rabel FZ Hoody "Grey";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/59245503__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/59245503__5_.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież męska
7;Bluza Outhorn Sport "Blue";89.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BLM6011388__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BLM6011388__5_.jpg;Bluza Męska;Rozmiary: M, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1;Odzież męska
8;Bluza Nike NSW Hoodie PO FLC GX 2 "Grey";239.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/861726_063_PHSBH001_3144.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/861726_063_PHSFH001_3144_kafel~1.jpg;Bluza Męska;Rozmiary:  L  M  XL S, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież męska
9;Bluza Reebok Classics Iconic Crew Neck "Black";229.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BQ2655_APP_on_model_back_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BQ2655_APP_on_model_front_white_kafel~1.jpg;Bluza Męska;Rozmiary:  L  M  XL  XXL S, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Odzież męska
