ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży ;Kategoria
594;Buty Nike WMNS Court Borough Mid SE "Blanc";339.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916793_100_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916793_100_2D_0003.jpg;Buty Damskie;Rozmiary:  36.5  38  39  40.5 35.5, Kolor: Czarny , Biały, Sezon: Jesień/Zima;1;200;1;Buty damskie
595;Buty Converse Chuck Taylor All Star PL LP OX "White";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/555934C_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/555934C_2D_0003.jpg;Buty Damskie;Rozmiary:  36  37  37.5  38  38.5  39  40  40.5  41 35.5, Kolor: Biały, Sezon: Jesień/Zima;1;200;1;Buty damskie
596;Trampki Converse Chuck Taylor All Star Player OX Women "Navy";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144150C_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144150C_2D_0003.jpg;Buty Damskie;Rozmiary:  36.5  37  37.5  38  39  39.5  40  41  42 36, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
597;Buty Converse Chuck Taylor All Star PL LP OX "Light Gold";419.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/555946C_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/555946C_2D_0003.jpg;Buty Damskie;Rozmiary:  36  37  37.5  38  38.5  39  40  40.5  41 35.5, Kolor: Złoty, Sezon: Jesień/Zima;1;200;1;Buty damskie
598;Trampki Converse Chuck Taylor All Star Player OX Women "Black";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144145C_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144145C_2D_0003.jpg;Buty Damskie;Rozmiary:  36.5  37  37.5  38  39  39.5  40  41  41.5  42 36, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
599;Trampki Converse Chuck Taylor All Star Player OX Women "White";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144151C_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/144151C_2D_0003.jpg;Buty Damskie;Rozmiary:  36.5  37  37.5  38  39  39.5  40  41  42 36, Kolor: Biały, Sezon: Jesień/Zima;1;200;1;Buty damskie
600;Buty Converse Chuck Taylor All Star PL LP OX "White";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/555935C_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/555935C_2D_0003.jpg;Buty Damskie;Rozmiary:  36  37.5  38  38.5  39  40  40.5  41 35.5, Kolor: Biały, Sezon: Jesień/Zima;1;200;1;Buty damskie
601;Buty Columbia Heavenly Shorty Omni Hea "Black";369.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BL1652010_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BL1652010_2D_0003.jpg;Buty Dziecięce;Rozmiary:  38  39  40  41 37, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
602;Buty Columbia Heavenly Shorty Omni Hea "Grey";369.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BL1652052_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BL1652052_2D_0003.jpg;Buty Dziecięce;Rozmiary:  38  39  40 37, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Buty damskie
603;Buty New Balance 574 "Black";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL574CIE_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL574CIE_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  40 36, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
604;Buty Nike Classic Cortez Nylon "Black Noir";379.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749864_006_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749864_006_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
605;Buty New Balance 574 "Pink";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL574CIC_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL574CIC_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36, Kolor: Różowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
606;Buty New Balance 701 "Black";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL701PKQ_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL701PKQ_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
607;Buty New Balance 701 "Rust";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL701PKP_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL701PKP_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36.5, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
608;Buty Nike WMNS Classic Cortez Suede "Black";319.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AA3839_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AA3839_001_2D_0003.jpg;Buty Damskie;Rozmiary:  38  39  40  41 37.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
609;Buty le coq sportif LCS R100 Mellow Mint x Titolo Women "Apricot";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/16216773_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/16216773_2D_0003.jpg;Buty Damskie;Rozmiary:  38  39  40  41 37, Kolor: Pomarańczowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
