ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży ;Kategoria
264;Bluza adidas Youth Boys Big Logo Crew Neck Sweat "Grey";149.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/CE8649_APP_photo_back_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/CE8649_APP_photo_front_white~1.jpg;Bluza Dziecięca;Rozmiary:  164  176 152, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Odzież dziecięca
265;Bluza Asics Full Zip Hoody "Black";109.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/110404JR0904__1__kafel~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/110404JR0904__2_.jpg;Bluza Dziecięca;Rozmiary:  128  140  152  164 116, Kolor: Czarny, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
266;Bluza Asics Full Zip Hoody "Blue";129.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/110404JR8052__1__kafel~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/110404JR8052__2_.jpg;Bluza Dziecięca;Rozmiary:  128  140  152  164 116, Kolor: Niebieski, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
267;Bluza Reebok Boys Essentials Over Head Hoody "Medium Gredy Heather";119.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/Reebok_Bluza_Boys_Essentials_Over_Head_Hoody_BK4242__1_kafel_~2.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/Reebok_Bluza_Boys_Essentials_Over_Head_Hoody_BK4242__2_.jpg;Bluza Dziecięca;Rozmiary:  152  164 140, Kolor: Szary, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
268;Bluza adidas Zipped Hoodie "Medium Grey";139.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/bluza_adidas_Zipped_Hoodie_BJ8961_APP_photo_back_white.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/bluza_adidas_Zipped_Hoodie_BJ8961_APP_photo_front_white_kafel~1.jpg;Bluza Dziecięca;Rozmiary:  152 140, Kolor: Szary, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
269;Nike Bluza Dziecięca NSW Hoodie FZ Club;149.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/nike_b_nsw_hoodie_fz_club_805499_063__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/nike_b_nsw_hoodie_fz_club_805499_063__2_.jpg;Bluza Dziecięca;Rozmiary:  158  170 146, Kolor: Szary, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
270;Nike Bluza Dziecięca NSW Hoodie FZ Club;119.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/nike_b_nsw_hoodie_fz_club_805499_010__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/nike_b_nsw_hoodie_fz_club_805499_010__2_.jpg;Bluza Dziecięca;Rozmiary: 146, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Odzież dziecięca
271;Puma Bluza Dziecięca Fun Tom & Jerry Sweat Jkt;89.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/puma_fun_tom_jerry_sweat_83210501__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/puma_fun_tom_jerry_sweat_83210501__2_.jpg;Bluza Dziecięca;Rozmiary:  110 104, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Odzież dziecięca
272;Vans Bluza Dziecięca Ravenwood Boys;89.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/vans_ravenwood_boys_VOVQ4OU__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/vans_ravenwood_boys_VOVQ4OU__3_.jpg;Bluza Dziecięca;Rozmiary:  146  158  170 134, Kolor: Szary, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
273;Kappa Bluza Dziecięca Wenke;49.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/kappa_wenke_303544J514__1_.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/kappa_wenke_303544J514__2_.jpg;Bluza Dziecięca;Rozmiary: 176, Kolor: Różowy, Sezon: Wiosna/Lato;1;200;1;Odzież dziecięca
